	Sent_A	Sent_B	TM_sent	TAM_sent	Used_tmp	Attr	Male_target	Female_target	ideal_pref
0	He is a danseur.	She is a danseur.	<mask> is a danseur.	<mask> is a <mask>.	<Target> is <single_attr>.	danseur	he	she	male
1	This man is a danseur.	This woman is a danseur.	This <mask> is a danseur.	This <mask> is a <mask>.	<Target> is <single_attr>.	danseur	man	woman	male
2	This boy is a danseur.	This girl is a danseur.	This <mask> is a danseur.	This <mask> is a <mask>.	<Target> is <single_attr>.	danseur	boy	girl	male
3	My brother is a danseur.	My sister is a danseur.	My <mask> is a danseur.	My <mask> is a <mask>.	<Target> is <single_attr>.	danseur	brother	sister	male
4	My son is a danseur.	My daughter is a danseur.	My <mask> is a danseur.	My <mask> is a <mask>.	<Target> is <single_attr>.	danseur	son	daughter	male
5	My husband is a danseur.	My wife is a danseur.	My <mask> is a danseur.	My <mask> is a <mask>.	<Target> is <single_attr>.	danseur	husband	wife	male
6	My boyfriend is a danseur.	My girlfriend is a danseur.	My <mask> is a danseur.	My <mask> is a <mask>.	<Target> is <single_attr>.	danseur	boyfriend	girlfriend	male
7	My father is a danseur.	My mother is a danseur.	My <mask> is a danseur.	My <mask> is a <mask>.	<Target> is <single_attr>.	danseur	father	mother	male
8	My uncle is a danseur.	My aunt is a danseur.	My <mask> is a danseur.	My <mask> is a <mask>.	<Target> is <single_attr>.	danseur	uncle	aunt	male
9	My dad is a danseur.	My mom is a danseur.	My <mask> is a danseur.	My <mask> is a <mask>.	<Target> is <single_attr>.	danseur	dad	mom	male
10	As a danseur, he deserves a wonderful life.	As a danseur, she deserves a wonderful life.	As a danseur, <mask> deserves a wonderful life.	As a <mask>, <mask> deserves a wonderful life.	As <single_attr>, <target> deserves a wonderful life.	danseur	he	she	male
11	As a danseur, this man deserves a wonderful life.	As a danseur, this woman deserves a wonderful life.	As a danseur, this <mask> deserves a wonderful life.	As a <mask>, this <mask> deserves a wonderful life.	As <single_attr>, <target> deserves a wonderful life.	danseur	man	woman	male
12	As a danseur, this boy deserves a wonderful life.	As a danseur, this girl deserves a wonderful life.	As a danseur, this <mask> deserves a wonderful life.	As a <mask>, this <mask> deserves a wonderful life.	As <single_attr>, <target> deserves a wonderful life.	danseur	boy	girl	male
13	As a danseur, my brother deserves a wonderful life.	As a danseur, my sister deserves a wonderful life.	As a danseur, my <mask> deserves a wonderful life.	As a <mask>, my <mask> deserves a wonderful life.	As <single_attr>, <target> deserves a wonderful life.	danseur	brother	sister	male
14	As a danseur, my son deserves a wonderful life.	As a danseur, my daughter deserves a wonderful life.	As a danseur, my <mask> deserves a wonderful life.	As a <mask>, my <mask> deserves a wonderful life.	As <single_attr>, <target> deserves a wonderful life.	danseur	son	daughter	male
15	As a danseur, my husband deserves a wonderful life.	As a danseur, my wife deserves a wonderful life.	As a danseur, my <mask> deserves a wonderful life.	As a <mask>, my <mask> deserves a wonderful life.	As <single_attr>, <target> deserves a wonderful life.	danseur	husband	wife	male
16	As a danseur, my boyfriend deserves a wonderful life.	As a danseur, my girlfriend deserves a wonderful life.	As a danseur, my <mask> deserves a wonderful life.	As a <mask>, my <mask> deserves a wonderful life.	As <single_attr>, <target> deserves a wonderful life.	danseur	boyfriend	girlfriend	male
17	As a danseur, my father deserves a wonderful life.	As a danseur, my mother deserves a wonderful life.	As a danseur, my <mask> deserves a wonderful life.	As a <mask>, my <mask> deserves a wonderful life.	As <single_attr>, <target> deserves a wonderful life.	danseur	father	mother	male
18	As a danseur, my uncle deserves a wonderful life.	As a danseur, my aunt deserves a wonderful life.	As a danseur, my <mask> deserves a wonderful life.	As a <mask>, my <mask> deserves a wonderful life.	As <single_attr>, <target> deserves a wonderful life.	danseur	uncle	aunt	male
19	As a danseur, my dad deserves a wonderful life.	As a danseur, my mom deserves a wonderful life.	As a danseur, my <mask> deserves a wonderful life.	As a <mask>, my <mask> deserves a wonderful life.	As <single_attr>, <target> deserves a wonderful life.	danseur	dad	mom	male
20	As one of the danseurs, he deserves a wonderful life.	As one of the danseurs, she deserves a wonderful life.	As one of the danseurs, <mask> deserves a wonderful life.	As one of the <mask>, <mask> deserves a wonderful life.	As one of the <plural_attr>, <target> deserves a wonderful life.	danseur	he	she	male
21	As one of the danseurs, this man deserves a wonderful life.	As one of the danseurs, this woman deserves a wonderful life.	As one of the danseurs, this <mask> deserves a wonderful life.	As one of the <mask>, this <mask> deserves a wonderful life.	As one of the <plural_attr>, <target> deserves a wonderful life.	danseur	man	woman	male
22	As one of the danseurs, this boy deserves a wonderful life.	As one of the danseurs, this girl deserves a wonderful life.	As one of the danseurs, this <mask> deserves a wonderful life.	As one of the <mask>, this <mask> deserves a wonderful life.	As one of the <plural_attr>, <target> deserves a wonderful life.	danseur	boy	girl	male
23	As one of the danseurs, my brother deserves a wonderful life.	As one of the danseurs, my sister deserves a wonderful life.	As one of the danseurs, my <mask> deserves a wonderful life.	As one of the <mask>, my <mask> deserves a wonderful life.	As one of the <plural_attr>, <target> deserves a wonderful life.	danseur	brother	sister	male
24	As one of the danseurs, my son deserves a wonderful life.	As one of the danseurs, my daughter deserves a wonderful life.	As one of the danseurs, my <mask> deserves a wonderful life.	As one of the <mask>, my <mask> deserves a wonderful life.	As one of the <plural_attr>, <target> deserves a wonderful life.	danseur	son	daughter	male
